no_of_comments,sentiment,sentiment_score,ticker
40,Bullish,0.257,TSLA
31,Bearish,-0.001,NEW
10,Bullish,0.362,OCGN
6,Bullish,0.13,GME
4,Bullish,0.461,BRO
3,Bullish,0.42,FB
3,Bullish,0.19,AMD
2,Bullish,0.67,WISH
2,Bullish,0.227,EV
2,Bullish,0.553,SNAP
2,Bearish,-0.147,IRS
2,Bearish,-0.382,CLOV
1,Bullish,0.218,QQQ
1,Bullish,0.196,TV
1,Bearish,-0.34,CNI
1,Bullish,0.178,MARK
1,Bullish,0.421,NET
1,Bullish,0.623,PROG
1,Bullish,0.637,MAN
1,Bullish,0.595,AIN
1,Bullish,0.557,ROLL
1,Bullish,0.04,AAPL
1,Bullish,0.032,DK
1,Bullish,0.984,NFLX
1,Bullish,0.371,BABA
1,Bearish,-0.109,NVDA
1,Bullish,0.336,ONE
1,Bullish,0.637,NYC
1,Bearish,0.0,TQQQ
1,Bearish,-0.509,GF
1,Bullish,0.318,API
1,Bullish,0.153,IBKR
1,Bullish,0.664,WOW
1,Bullish,0.259,FSD
1,Bearish,-0.098,CLF
1,Bearish,-0.063,SDC
1,Bearish,0.0,MRNA
1,Bullish,0.083,GOEV
1,Bullish,0.22,PLTR
1,Bullish,0.526,MTCH
1,Bullish,0.159,AMC
1,Bullish,0.02,GM
1,Bearish,-0.463,SR
1,Bullish,0.252,BB
1,Bullish,0.778,ASAN
1,Bullish,0.114,MSFT
1,Bearish,0.0,SPCE
1,Bearish,0.0,PDT
1,Bearish,0.0,RSI
1,Bullish,0.494,AN
