date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.3,4.4,13.3,0.0,0.0,275.3,17.3,,,
2021-01-02,8.6,5.0,15.0,0.0,0.0,293.7,10.8,,1022.8,
2021-01-03,11.9,5.6,20.6,0.0,0.0,197.5,14.0,,1020.5,
2021-01-04,15.8,8.9,24.4,0.0,0.0,240.8,6.5,,1018.5,
2021-01-05,15.6,10.0,21.1,0.0,0.0,84.7,11.9,,1020.1,
2021-01-06,17.7,11.7,24.4,10.4,0.0,158.4,21.2,,1014.8,
2021-01-07,12.6,7.2,16.1,0.0,0.0,317.4,21.2,,1018.2,
2021-01-08,9.2,5.0,12.8,0.0,0.0,348.8,13.3,,1025.0,
2021-01-09,8.2,3.3,13.3,0.0,0.0,62.1,8.3,,1026.6,
2021-01-10,7.2,2.8,10.0,29.0,0.0,42.9,25.6,,1024.4,
2021-01-11,3.9,2.2,8.3,0.0,0.0,329.2,20.2,,1028.3,
2021-01-12,5.1,0.6,10.6,0.0,0.0,339.1,6.1,,1029.5,
2021-01-13,9.2,3.3,16.1,0.0,0.0,227.8,10.1,,1023.3,
2021-01-14,11.9,4.4,23.9,0.0,0.0,249.7,15.8,,1014.4,
2021-01-15,12.2,6.1,16.7,0.0,0.0,312.1,20.5,,1019.0,
2021-01-16,10.4,5.0,16.1,0.0,0.0,296.2,10.8,,1020.2,
2021-01-17,11.3,3.3,20.6,0.0,0.0,287.7,7.9,,1019.7,
2021-01-18,12.8,5.0,21.7,0.0,0.0,73.4,13.3,,1018.7,
2021-01-19,20.1,15.6,24.4,0.0,0.0,142.5,15.5,,1022.4,
2021-01-20,16.6,15.0,17.8,0.0,0.0,97.3,11.2,,1024.9,
2021-01-21,18.1,16.1,21.7,1.5,0.0,212.7,9.0,,1016.6,
2021-01-22,19.8,17.2,22.2,0.3,0.0,343.4,8.3,,1013.9,
2021-01-23,17.7,16.1,18.9,1.8,0.0,85.5,16.9,,1016.4,
2021-01-24,19.4,16.1,26.1,0.3,0.0,158.1,19.4,,1012.7,
2021-01-25,23.3,19.4,27.2,0.3,0.0,207.8,18.0,,1007.3,
2021-01-26,20.9,15.6,25.6,0.0,0.0,57.9,11.9,,1010.8,
2021-01-27,18.4,10.6,21.1,0.0,0.0,339.0,25.9,,1021.6,
2021-01-28,11.1,5.6,16.7,0.0,0.0,55.1,13.7,,1032.5,
2021-01-29,11.8,6.1,18.3,0.0,0.0,68.6,12.2,,1026.0,
2021-01-30,18.2,13.3,24.4,0.0,0.0,185.9,21.2,,1013.6,
2021-01-31,19.0,11.1,21.1,0.0,0.0,318.5,22.3,,1019.9,
2021-02-01,12.5,6.7,18.3,0.0,0.0,337.6,15.5,,1027.7,
2021-02-02,12.9,7.2,18.9,0.0,0.0,94.4,10.4,,1024.4,
2021-02-03,13.7,8.9,20.6,0.0,0.0,106.1,15.5,,1018.6,
2021-02-04,20.1,16.1,26.7,0.0,0.0,205.1,19.8,,1011.0,
2021-02-05,14.2,8.9,17.2,0.8,0.0,58.5,20.5,,1013.7,
2021-02-06,12.9,10.0,20.0,0.0,0.0,38.4,13.3,,1011.3,
2021-02-07,12.5,6.1,17.8,0.0,0.0,91.0,14.4,,1018.1,
2021-02-08,15.3,10.6,22.2,0.0,0.0,126.2,15.1,,1016.0,
2021-02-09,18.7,17.2,22.2,0.0,0.0,111.9,10.4,,1017.2,
2021-02-10,18.2,8.9,20.0,1.8,0.0,109.7,12.6,,1015.6,
2021-02-11,8.1,4.4,8.9,35.8,0.0,334.6,23.4,,1016.4,
2021-02-12,4.2,1.7,5.6,0.3,0.0,7.9,25.9,,1018.6,
2021-02-13,3.8,2.2,6.7,0.3,0.0,4.8,22.7,,1019.0,
2021-02-14,2.9,-2.1,3.9,2.8,0.0,13.2,22.7,,1018.9,
2021-02-15,-4.3,-8.2,-2.1,1.0,0.0,310.0,31.0,,1024.1,
2021-02-16,-5.3,-9.3,2.2,0.0,0.0,44.2,14.0,,1023.7,
2021-02-17,2.1,0.6,3.9,4.1,0.0,2.0,22.7,,1015.8,
2021-02-18,2.5,-0.5,6.7,0.0,0.0,350.0,25.9,,1024.3,
2021-02-19,2.5,-3.2,10.6,0.0,0.0,329.3,10.4,,1032.1,
2021-02-20,7.0,-0.5,15.6,0.0,0.0,79.6,12.2,,1028.1,
2021-02-21,13.6,7.2,22.8,0.0,0.0,169.7,14.0,,1020.4,
2021-02-22,17.1,10.6,25.0,0.0,0.0,21.6,11.2,,1022.9,
2021-02-23,15.9,6.7,26.1,0.0,0.0,184.9,13.3,,1020.1,
2021-02-24,19.4,13.9,27.2,0.0,0.0,170.3,15.8,,1017.0,
2021-02-25,20.8,18.9,22.2,1.5,0.0,145.3,16.6,,1018.5,
2021-02-26,22.3,20.6,27.2,0.0,0.0,180.9,18.0,,1014.0,
2021-02-27,22.5,21.1,25.6,0.0,0.0,163.5,20.2,,1013.4,
2021-02-28,23.6,21.7,27.8,0.0,0.0,173.2,18.0,,1012.7,
2021-03-01,19.9,11.7,22.2,13.5,0.0,9.2,21.6,,1016.0,
2021-03-02,12.9,9.4,18.9,0.5,0.0,353.1,18.7,,1022.1,
2021-03-03,13.3,6.7,20.0,0.0,0.0,96.1,7.6,,1022.2,
2021-03-04,13.9,7.2,21.7,0.0,0.0,137.6,11.2,,1020.3,
2021-03-05,16.7,11.7,24.4,0.3,0.0,120.3,13.0,,1014.8,
2021-03-06,16.9,11.7,21.7,0.0,0.0,12.2,19.1,,1022.8,
2021-03-07,14.6,8.3,19.4,0.0,0.0,88.0,15.1,,1028.1,
2021-03-08,14.5,7.8,22.8,0.0,0.0,115.1,11.9,,1029.8,
2021-03-09,18.8,13.9,24.4,0.0,0.0,147.9,20.2,,1025.9,
