date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,3.6,2.2,4.4,,,,13.2,,1029.4,
2021-01-02,6.3,3.3,12.2,7.1,,319.5,11.6,,1012.9,
2021-01-03,3.4,2.8,4.4,5.7,,40.0,22.4,,1017.1,
2021-01-04,4.6,2.8,7.2,0.7,,2.2,8.1,,1015.0,
2021-01-05,4.4,3.3,5.6,0.0,,355.9,8.1,,1013.5,
2021-01-06,4.1,2.2,7.8,0.0,,332.8,6.9,,1015.6,
2021-01-07,3.2,0.6,8.3,0.0,,324.5,6.0,,1019.0,
2021-01-08,1.4,-1.1,3.9,0.0,,350.7,10.2,,1015.6,
2021-01-09,1.1,-2.2,3.9,0.0,,355.3,8.0,,1012.6,
2021-01-10,3.0,0.0,8.3,0.0,,351.4,6.7,,1022.3,
2021-01-11,1.5,0.0,3.0,0.0,,290.1,6.9,,1025.4,
2021-01-12,3.7,0.6,8.3,0.0,,267.2,9.3,,1020.1,
2021-01-13,4.1,2.2,6.7,0.0,,257.2,11.0,,1016.6,
2021-01-14,6.4,3.0,11.0,0.0,,250.6,5.6,,1010.8,
2021-01-15,6.0,3.9,7.8,7.2,,46.3,21.3,,1013.4,
2021-01-16,6.2,3.9,8.3,22.1,,296.7,15.9,,998.5,
2021-01-17,4.8,2.8,7.8,0.0,,267.5,22.7,,1003.5,
2021-01-18,5.3,3.3,8.3,0.1,,257.8,14.7,,1008.2,
2021-01-19,3.5,1.7,6.1,0.0,,262.0,17.1,,1017.8,
2021-01-20,2.4,-1.1,5.6,1.3,,293.1,7.5,,1014.9,
2021-01-21,1.7,-2.2,6.1,0.0,,251.1,11.8,,1009.2,
2021-01-22,4.7,3.3,7.2,0.0,,275.5,12.6,,1006.7,
2021-01-23,0.1,-3.3,2.8,0.0,,304.5,8.0,,1017.8,
2021-01-24,-1.4,-3.9,2.2,0.0,,308.8,6.7,,1021.7,
2021-01-25,-1.1,-4.9,3.4,0.0,,323.4,8.4,,1019.8,
2021-01-26,1.6,0.6,2.2,7.0,,38.7,18.6,,1015.1,
2021-01-27,2.5,0.6,3.9,0.5,,326.7,6.5,,1016.2,
2021-01-28,-0.5,-5.0,2.8,0.0,,333.5,6.1,,1019.0,
2021-01-29,-4.6,-7.2,-1.1,0.0,,318.4,8.1,,1020.4,
2021-01-30,-3.0,-7.2,3.3,0.0,,323.2,8.3,,1025.7,
2021-01-31,-3.4,-4.4,-2.2,1.9,,48.3,14.7,,1025.7,
2021-02-01,-0.7,-3.9,1.1,27.6,,30.8,30.8,,1009.6,
2021-02-02,0.6,-0.6,1.1,2.3,,356.0,8.7,,997.2,
2021-02-03,1.1,-1.1,3.9,0.0,,319.0,4.4,,1000.2,
2021-02-04,3.1,0.0,8.3,0.0,,287.9,8.3,,1010.5,
2021-02-05,5.1,1.7,9.4,1.5,,212.9,9.1,,1006.8,
2021-02-06,3.7,0.6,7.2,0.0,,261.2,15.3,,1016.3,
2021-02-07,1.6,-2.2,3.3,9.8,,11.5,11.7,,1015.3,
2021-02-08,-2.8,-7.2,1.7,0.0,,275.3,10.4,,1028.7,
2021-02-09,0.0,-3.0,2.0,2.4,,4.7,11.6,,1024.1,
2021-02-10,-0.2,-2.0,3.0,0.6,,324.6,7.6,,1026.3,
2021-02-11,-1.1,-2.0,1.0,4.6,,6.7,11.0,,1024.8,
2021-02-12,-2.0,-4.0,0.0,0.0,,7.8,9.5,,1027.8,
2021-02-13,-1.2,-2.0,0.0,1.1,,25.9,14.3,,1026.0,
2021-02-14,1.1,-1.1,3.3,0.2,,10.7,10.9,,1023.8,
2021-02-15,1.7,1.1,2.8,1.2,,16.3,14.2,,1022.1,
2021-02-16,5.5,1.7,11.1,22.9,,225.2,18.4,,1006.7,
2021-02-17,-0.6,-3.9,2.2,0.0,,317.2,7.1,,1026.9,
2021-02-18,-1.6,-3.3,0.0,7.4,,32.8,19.5,,1029.0,
2021-02-19,0.2,-2.0,2.0,7.3,,10.4,14.7,,1019.8,
2021-02-20,0.5,-3.0,3.0,0.0,,298.1,16.3,,1019.9,
2021-02-21,0.1,-3.0,4.0,0.0,,280.0,12.2,,1031.7,
2021-02-22,1.3,0.0,3.3,11.6,,240.5,12.2,,1017.9,
2021-02-23,4.3,2.0,7.0,0.2,,257.7,18.0,,1006.2,
2021-02-24,7.8,3.9,13.3,0.0,,229.9,10.8,,1014.4,
2021-02-25,7.8,4.4,11.1,0.0,,300.1,8.2,,1018.1,
2021-02-26,4.5,1.7,7.2,0.0,,190.9,10.9,,1030.3,
2021-02-27,6.7,4.4,10.0,8.7,,195.5,13.1,,1022.3,
2021-02-28,5.7,5.0,6.7,6.9,,31.6,13.1,,1022.9,
2021-03-01,5.8,2.2,8.9,5.6,,301.3,9.7,,1006.9,
2021-03-02,-0.5,-5.0,3.3,0.0,,295.9,8.9,,1020.3,
2021-03-03,5.4,0.0,11.1,0.0,,265.5,13.5,,1013.1,
2021-03-04,4.6,-1.1,7.8,0.0,,311.8,6.5,,1010.7,
2021-03-05,0.5,-3.9,5.0,0.0,,296.8,6.6,,1012.5,
2021-03-06,1.0,-1.1,3.3,0.0,,303.2,8.5,,1018.7,
2021-03-07,2.1,-1.1,7.2,0.0,,317.8,7.6,,1026.6,
2021-03-08,2.5,-2.2,7.8,0.0,,299.0,9.7,,1030.2,
2021-03-09,10.2,3.9,18.3,0.1,,280.8,9.5,,1027.3,
2021-03-10,8.6,5.6,11.7,0.0,,102.8,11.5,,1032.7,
2021-03-11,12.9,5.6,21.1,0.0,,204.4,7.7,,1023.7,
2021-03-12,16.0,12.0,21.0,0.2,,274.1,19.3,,1018.8,
2021-03-13,6.6,1.7,11.7,0.0,,294.0,13.5,,1022.6,
2021-03-14,,,,,,,,,,
2021-03-15,1.3,-2.8,6.1,0.0,,331.2,6.7,,1026.0,
2021-03-16,1.5,-0.6,3.3,0.0,,92.6,10.3,,1025.9,
2021-03-17,4.7,2.2,7.2,0.0,,34.5,10.5,,1022.0,
2021-03-18,6.8,6.1,7.2,19.0,,15.4,11.8,,1014.3,
2021-03-19,4.6,1.1,8.3,1.7,,11.3,14.6,,1021.1,
2021-03-20,7.2,1.7,15.0,0.0,,283.9,5.7,,1033.7,
2021-03-21,9.7,4.4,16.7,0.0,,298.5,4.1,,1033.9,
2021-03-22,5.7,-1.0,12.4,0.0,,81.5,8.3,,1029.9,
2021-03-23,10.4,6.1,16.7,0.0,,73.6,12.6,,1025.8,
2021-03-24,10.7,8.3,12.8,32.2,,38.7,18.1,,1021.2,
2021-03-25,12.4,9.4,17.8,0.9,,341.6,5.7,,1017.6,
2021-03-26,16.8,10.6,25.0,1.5,,210.5,16.0,,1008.7,
2021-03-27,13.8,10.0,20.0,0.0,,252.6,6.9,,1019.6,
2021-03-28,12.5,10.0,16.1,21.1,,172.3,9.2,,1008.6,
2021-03-29,10.6,7.8,15.0,0.0,,294.1,9.7,,1014.6,
2021-03-30,10.5,6.7,14.4,0.0,,143.9,13.2,,1028.2,
2021-03-31,13.2,10.0,17.2,11.3,,171.8,4.7,,1018.8,
2021-04-01,8.6,5.0,13.9,5.0,,329.0,5.8,,1010.4,
2021-04-02,2.7,-0.6,5.0,0.0,,323.9,7.9,,1021.7,
2021-04-03,6.3,0.6,13.3,0.0,,303.4,8.4,,1026.3,
2021-04-04,11.1,7.2,16.1,0.0,,255.3,5.5,,1018.8,
2021-04-05,14.5,8.9,20.6,0.0,,313.9,5.8,,1014.1,
2021-04-06,14.8,8.3,21.7,0.0,,325.8,7.3,,1014.2,
2021-04-07,14.5,11.1,20.6,1.1,,359.9,5.4,,1015.8,
2021-04-08,13.8,9.4,19.4,0.0,,146.7,6.8,,1019.6,
2021-04-09,10.5,9.4,12.8,0.0,,141.9,7.8,,1021.6,
2021-04-10,12.7,9.4,17.2,0.4,,143.3,5.5,,1015.5,
2021-04-11,12.0,9.4,13.9,29.0,,36.8,16.9,,1004.2,
2021-04-12,8.6,7.8,10.0,12.8,,38.6,16.6,,1008.7,
2021-04-13,12.2,7.8,18.9,1.4,,25.3,8.7,,1016.9,
2021-04-14,13.6,8.3,20.6,0.2,,226.9,8.1,,1016.3,
2021-04-15,11.5,8.3,13.9,6.0,,179.5,7.8,,1007.4,
2021-04-16,8.7,6.1,11.1,2.6,,307.2,6.2,,1004.7,
2021-04-17,10.2,6.7,13.3,0.0,,309.7,6.2,,1008.3,
2021-04-18,12.8,9.4,17.2,0.5,,281.8,6.2,,1010.4,
2021-04-19,14.0,10.6,18.3,0.0,,242.5,6.7,,1011.1,
2021-04-20,16.2,10.6,22.2,0.0,,225.7,12.5,,1012.8,
2021-04-21,13.2,5.6,18.9,5.3,,230.7,10.2,,1006.4,
2021-04-22,6.6,3.3,10.0,0.0,,286.2,9.4,,1011.0,
2021-04-23,11.2,5.0,18.3,0.0,,274.0,13.6,,1015.2,
