date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.1,7.8,10.6,5.8,0.0,144.4,20.2,,1014.5,
2021-01-02,9.8,8.9,11.1,19.3,0.0,185.8,23.4,,1012.7,
2021-01-03,9.9,6.1,12.2,7.6,0.0,135.8,18.4,,1014.1,
2021-01-04,9.4,7.2,11.7,15.2,0.0,169.5,21.6,,1008.1,
2021-01-05,7.9,5.6,10.6,0.0,0.0,139.2,18.7,,1018.7,
2021-01-06,9.1,7.2,11.7,19.3,0.0,113.0,10.8,,1017.0,
2021-01-07,8.3,6.7,11.1,0.0,0.0,110.7,18.7,,1021.9,
2021-01-08,8.9,1.1,11.1,4.3,0.0,79.3,8.3,,1024.1,
2021-01-09,4.7,1.7,8.9,0.0,0.0,66.2,13.7,,1025.7,
2021-01-10,6.7,5.6,7.8,3.0,0.0,119.5,19.1,,1024.3,
2021-01-11,7.2,6.7,8.3,14.5,0.0,118.8,24.5,,1018.6,
2021-01-12,10.2,7.8,16.1,49.3,0.0,171.5,25.6,,1009.1,
2021-01-13,12.3,5.6,16.1,0.5,0.0,268.5,10.8,,1027.0,
2021-01-14,7.2,3.3,12.8,0.0,0.0,47.9,10.4,,1029.4,
2021-01-15,8.6,5.0,10.0,4.6,0.0,44.4,4.7,,1030.2,
2021-01-16,7.6,5.6,10.0,0.0,0.0,100.4,7.9,,1029.4,
2021-01-17,7.7,3.9,11.1,1.0,0.0,31.2,4.3,,1032.0,
2021-01-18,6.8,1.7,11.7,0.0,0.0,339.9,6.1,,1033.2,
2021-01-19,4.6,-0.5,11.1,0.0,0.0,327.1,4.3,,1030.2,
2021-01-20,3.4,-1.0,8.3,0.3,0.0,0.9,1.4,,1022.4,
2021-01-21,6.7,5.0,8.3,3.0,0.0,52.6,5.4,,1017.5,
2021-01-22,6.8,0.6,10.6,0.0,0.0,353.9,7.6,,1016.1,
2021-01-23,2.8,-2.7,8.3,0.0,0.0,229.9,2.2,,1020.3,
2021-01-24,4.9,3.9,5.0,9.1,0.0,142.2,7.2,,1010.8,
2021-01-25,3.7,2.2,6.7,0.0,0.0,142.8,8.3,,1011.9,
2021-01-26,3.8,1.7,5.0,3.6,0.0,116.6,26.6,,1002.5,
2021-01-27,4.1,3.3,7.2,3.6,0.0,113.8,12.2,,1000.3,
