date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.6,6.7,10.6,,,158.2,12.3,,1011.2,
2021-01-02,8.8,6.1,9.4,48.6,,165.4,24.0,,1007.2,
2021-01-03,6.2,3.9,8.9,15.5,,144.6,14.3,,1012.5,
2021-01-04,7.9,6.7,8.9,21.7,,169.9,14.4,,1005.6,
2021-01-05,6.3,5.0,7.2,13.1,,140.4,11.8,,1016.8,
2021-01-06,7.5,3.9,10.6,5.9,,152.2,10.4,,1016.7,
2021-01-07,6.7,4.4,9.4,0.0,,125.7,3.1,,1022.2,
2021-01-08,7.0,2.2,10.6,7.2,,140.2,4.9,,1023.0,
2021-01-09,3.6,1.1,6.1,0.0,,106.1,2.7,,1025.1,
2021-01-10,7.2,5.6,9.4,5.2,,84.3,5.3,,1022.4,
2021-01-11,7.1,5.0,8.3,30.9,,137.1,7.8,,1017.2,
2021-01-12,11.1,7.2,13.3,42.8,,159.1,15.4,,1004.7,
2021-01-13,8.3,4.0,13.0,6.7,,207.1,18.8,,1023.7,
2021-01-14,7.3,3.3,11.1,0.2,,118.8,3.8,,1029.2,
2021-01-15,8.6,5.6,12.2,2.9,,45.2,4.8,,1029.0,
2021-01-16,5.4,2.8,8.3,0.0,,23.5,2.5,,1028.8,
2021-01-17,7.8,6.1,10.0,1.7,,102.9,6.3,,1031.3,
2021-01-18,6.4,3.9,8.9,0.0,,33.1,3.2,,1034.9,
2021-01-19,3.6,1.1,6.7,0.0,,146.5,5.1,,1030.2,
2021-01-20,4.5,1.1,7.2,0.0,,185.7,2.9,,1022.1,
2021-01-21,6.4,5.0,7.8,3.4,,36.1,3.6,,1018.4,
2021-01-22,5.4,1.1,7.8,0.0,,22.4,12.9,,1018.1,
2021-01-23,1.7,-2.8,5.6,0.0,,166.4,7.1,,1019.2,
2021-01-24,3.8,3.3,5.0,8.3,,152.2,11.0,,1008.6,
2021-01-25,4.5,1.7,7.2,0.0,,188.4,11.8,,1010.0,
2021-01-26,3.8,0.6,6.1,0.0,,130.1,12.7,,1002.7,
2021-01-27,5.3,2.8,7.2,2.4,,65.7,5.9,,1000.6,
2021-01-28,5.7,4.4,7.8,6.0,,15.1,2.6,,1006.3,
2021-01-29,5.9,4.4,8.3,1.3,,113.2,5.1,,1009.1,
2021-01-30,6.6,4.4,9.4,10.4,,114.9,6.4,,1012.0,
2021-01-31,7.2,6.1,8.3,9.9,,144.0,5.0,,1012.1,
2021-02-01,8.1,6.1,10.0,22.9,,138.7,6.1,,1007.4,
2021-02-02,5.7,4.0,7.0,11.5,,166.6,12.9,,1009.9,
2021-02-03,6.3,4.4,8.9,2.5,,19.2,3.5,,1019.6,
2021-02-04,7.2,5.6,9.4,1.7,,173.0,14.4,,1026.1,
2021-02-05,8.8,7.2,11.1,0.5,,203.6,11.7,,1021.5,
2021-02-06,7.8,6.7,10.6,0.6,,194.9,19.7,,1017.3,
2021-02-07,6.1,3.9,8.3,0.1,,188.6,12.8,,1015.7,
2021-02-08,3.6,1.1,5.6,0.0,,175.3,5.7,,1018.0,
2021-02-09,3.6,1.1,6.1,0.0,,28.4,4.8,,1021.1,
2021-02-10,2.0,-2.2,5.6,0.0,,131.0,6.3,,1022.2,
2021-02-11,1.0,-0.6,2.8,2.0,,42.2,9.1,,1019.0,
2021-02-12,-0.8,-3.9,1.1,5.4,,105.2,10.3,,1016.2,
2021-02-13,-2.4,-3.9,-1.1,15.0,,136.2,14.8,,1009.3,
2021-02-14,0.1,-1.1,2.2,10.8,,129.0,12.1,,1012.2,
2021-02-15,3.2,0.6,6.7,19.6,,150.4,11.6,,1003.3,
2021-02-16,5.5,2.2,9.4,1.1,,190.5,7.1,,1016.6,
2021-02-17,4.6,2.2,8.3,0.2,,114.8,3.9,,1026.5,
2021-02-18,4.6,1.7,7.2,4.8,,140.6,9.4,,1018.8,
2021-02-19,6.4,5.0,8.9,2.2,,173.6,15.3,,1018.0,
2021-02-20,6.4,3.9,10.0,1.0,,186.9,11.6,,1024.5,
2021-02-21,8.7,5.6,11.1,4.8,,181.7,24.4,,1026.2,
2021-02-22,9.3,5.6,11.1,17.1,,191.8,18.9,,1021.7,
2021-02-23,5.3,2.8,9.4,1.9,,160.2,9.3,,1026.3,
2021-02-24,4.2,0.6,7.2,0.0,,142.5,7.1,,1033.7,
2021-02-25,6.1,3.3,9.4,3.9,,195.0,16.2,,1019.9,
2021-02-26,6.0,3.9,10.0,3.6,,149.5,12.1,,1014.2,
2021-02-27,5.1,0.6,8.9,0.0,,185.7,8.1,,1023.6,
2021-02-28,7.7,4.4,11.1,0.6,,160.2,13.2,,1024.0,
2021-03-01,8.6,3.3,13.9,0.0,,162.0,6.6,,1018.5,
2021-03-02,6.8,5.6,8.9,0.0,,20.1,3.7,,1017.2,
2021-03-03,6.9,1.1,13.3,0.0,,184.6,4.2,,1010.2,
2021-03-04,6.8,2.2,10.6,5.0,,131.4,10.2,,1015.2,
2021-03-05,8.5,7.2,11.7,3.8,,168.0,11.1,,1013.2,
