date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,3.9,2.2,6.1,5.766666666666667,5.433333333333333,5.1,1017.0
2021-01-02,5.2,3.9,6.7,4.8,191.1,18.7,1011.8
2021-01-03,5.6,2.8,7.8,5.3,232.2,18.8,1011.7
2021-01-04,4.4,1.7,7.2,7.8,142.4,7.2,1009.3
2021-01-05,4.0,2.2,6.1,0.0,173.1,9.7,1021.2
2021-01-06,5.3,3.9,7.2,8.3,121.2,6.8,1019.4
2021-01-07,3.4,0.0,5.0,2.3,16.5,1.4,1026.9
2021-01-08,1.5,-1.1,4.4,0.0,1.8,2.1,1025.3
2021-01-09,2.4,-0.6,4.4,0.0,108.5,2.3,1031.1
2021-01-10,2.1,-0.6,5.0,0.0,20.3,1.9,1027.6
2021-01-11,3.9,2.2,6.7,1.0,3.1,2.0,1023.7
2021-01-12,6.3,3.3,8.9,16.0,148.7,10.5,1013.0
2021-01-13,6.2,0.6,11.7,5.5,229.2,26.1,1017.5
2021-01-14,0.5,-3.3,6.1,0.0,10.4,1.5,1035.6
2021-01-15,-0.5,-3.2,2.9,0.0,124.2,4.8,1030.6
2021-01-16,2.8,1.1,5.0,0.0,122.3,1.7,1031.5
2021-01-17,2.6,2.2,3.3,1.6,295.4,4.6,1027.1
2021-01-18,1.1,-2.2,3.9,0.0,348.1,2.5,1033.2
2021-01-19,-0.7,-3.9,2.8,0.0,359.9,2.2,1032.8
2021-01-20,0.1,-2.2,2.8,0.0,2.7,0.5,1022.1
2021-01-21,-0.3,-2.8,2.8,0.0,3.7,0.5,1020.3
2021-01-22,-2.5,-5.6,2.8,0.0,350.4,1.0,1018.6
2021-01-23,-4.2,-7.2,-0.6,0.0,359.6,0.5,1020.3
2021-01-24,-2.9,-6.7,-0.6,0.0,4.2,0.5,1011.5
2021-01-25,-1.7,-3.3,0.0,0.6,352.5,0.9,1011.8
2021-01-26,-1.1,-2.2,1.1,0.6,16.0,3.2,1010.0
2021-01-27,0.8,-2.2,3.3,2.6,70.6,7.2,1006.2
2021-01-28,2.3,-1.1,5.6,0.7,2.2,0.9,1008.7
2021-01-29,1.1,0.0,2.8,1.4,342.1,3.4,1010.0
2021-01-30,3.7,1.1,6.7,0.0,143.4,3.3,1017.9
2021-01-31,6.0,3.9,8.3,1.8,54.3,6.1,1019.3
2021-02-01,8.2,3.3,12.2,0.2,104.0,5.8,1012.0
2021-02-02,6.4,0.6,10.6,0.9,218.1,16.6,1009.8
2021-02-03,1.5,-2.2,5.6,0.0,215.9,5.2,1017.4
2021-02-04,2.3,0.0,5.0,1.1,235.2,9.7,1023.9
2021-02-05,5.3,1.7,10.0,2.2,237.5,10.1,1015.3
2021-02-06,4.0,0.0,8.3,1.9,221.9,12.1,1010.6
2021-02-07,1.1,-1.7,2.8,2.7,315.6,4.5,1011.8
2021-02-08,-1.4,-2.8,0.6,0.0,246.5,6.2,1016.3
2021-02-09,-4.6,-7.2,-2.8,0.0,109.5,5.2,1021.6
2021-02-10,-3.9,-7.2,-0.6,0.0,215.7,5.1,1022.1
2021-02-11,-7.2,-10.6,-5.0,0.0,53.9,18.6,1025.7
2021-02-12,-8.8,-11.1,-6.1,0.0,65.6,14.9,1024.6
2021-02-13,-6.2,-7.8,-3.9,0.0,73.2,18.6,1017.9
2021-02-14,-6.0,-7.8,-4.4,1.3,74.0,6.6,1020.4
2021-02-15,-5.0,-6.1,-3.3,6.6,344.7,2.8,1008.6
2021-02-16,-3.9,-5.6,-2.8,0.6,312.6,3.7,1017.1
2021-02-17,-1.9,-6.1,2.8,0.0,199.7,6.8,1024.7
2021-02-18,-4.3,-9.4,0.6,3.2,18.0,2.5,1026.9
2021-02-19,-0.1,-1.1,0.6,0.9,259.8,6.4,1020.0
2021-02-20,-0.3,-1.1,0.6,0.0,209.6,10.3,1023.3
2021-02-21,3.0,0.0,5.6,1.1,230.0,16.3,1025.1
2021-02-22,5.9,3.0,8.0,1.8,215.3,28.0,1017.7
2021-02-23,2.4,-1.7,6.1,0.0,218.9,12.3,1020.4
2021-02-24,-0.3,-4.4,3.9,0.0,279.4,6.9,1031.9
2021-02-25,2.7,-0.6,7.2,4.0,217.2,19.9,1017.6
2021-02-26,3.2,1.1,6.7,0.0,234.4,11.9,1007.9
2021-02-27,1.7,-2.2,5.6,0.4,213.2,8.1,1017.8
2021-02-28,3.6,0.0,7.2,0.0,185.4,11.2,1024.7
2021-03-01,5.3,-1.1,11.7,0.0,139.3,6.3,1020.6
2021-03-02,6.9,2.8,13.3,0.0,187.2,9.5,1014.1
2021-03-03,5.7,-1.1,15.6,0.0,125.4,3.9,1011.3
2021-03-04,6.6,-1.1,16.1,0.0,30.3,5.8,1017.4
2021-03-05,8.8,1.1,17.2,0.0,39.3,9.3,1015.0
2021-03-06,5.8,2.8,10.6,0.0,204.5,12.9,1013.0
2021-03-07,4.3,0.6,9.4,0.4,171.2,12.4,1018.7
2021-03-08,2.4,-2.2,8.9,0.0,72.7,4.9,1017.8
2021-03-09,3.0,-1.1,9.4,0.0,26.2,4.0,1016.8
2021-03-10,2.2,-3.3,8.9,0.0,112.5,3.1,1015.1
2021-03-11,2.8,-3.3,11.1,0.0,340.7,4.3,1022.5
2021-03-12,4.1,-2.8,12.2,0.0,171.9,3.3,1026.0
2021-03-13,5.2,-2.2,14.4,0.0,57.4,2.3,1023.7
2021-03-14,,,,,,,
2021-03-15,6.6,2.8,9.4,0.0,203.6,8.2,1013.8
2021-03-16,5.0,-1.7,12.2,0.0,193.8,3.1,1018.6
2021-03-17,6.0,-1.7,15.6,0.0,15.6,2.1,1018.0
2021-03-18,10.6,1.7,18.3,0.0,100.8,8.7,1012.2
2021-03-19,8.3,3.9,11.7,1.7,199.1,12.6,1015.4
2021-03-20,6.2,1.7,11.1,0.3,199.2,13.5,1017.7
2021-03-21,4.3,1.7,8.3,0.1,217.3,15.1,1021.0
2021-03-22,3.3,0.0,8.3,8.5,217.1,8.3,1014.9
2021-03-23,3.4,-1.1,10.6,0.0,218.1,5.2,1024.0
2021-03-24,4.2,2.8,5.6,4.5,195.3,8.6,1009.3
2021-03-25,4.8,1.7,10.6,1.7,215.8,3.3,1008.7
2021-03-26,6.1,0.0,11.7,0.0,199.5,9.5,1018.4
2021-03-27,8.1,1.1,13.9,0.0,189.4,8.9,1024.4
2021-03-28,8.6,2.1,13.5,0.5,205.8,24.8,1010.3
2021-03-29,3.4,-1.7,7.2,0.0,276.6,16.0,1018.1
2021-03-30,3.7,-2.2,10.0,0.0,226.5,8.1,1027.4
2021-03-31,6.1,-2.2,15.0,0.0,24.5,4.5,1028.7
2021-04-01,9.2,0.6,18.9,0.0,163.2,8.7,1013.2
2021-04-02,11.3,2.2,17.8,0.0,301.6,9.7,1014.0
2021-04-03,10.4,3.3,17.8,0.0,182.6,7.1,1018.4
2021-04-04,8.8,6.1,12.8,0.5,200.5,7.1,1016.9
2021-04-05,7.2,1.1,13.9,0.0,271.8,3.9,1017.0
2021-04-06,7.6,0.3,14.8,0.0,173.0,9.5,1016.9
2021-04-07,8.9,2.4,15.9,0.3,199.0,15.9,1012.5
2021-04-08,6.7,3.3,11.1,1.6,239.7,14.0,1016.6
2021-04-09,7.1,-1.1,12.8,0.0,191.1,14.3,1018.6
2021-04-10,6.0,1.1,9.4,0.1,254.1,17.8,1014.0
2021-04-11,2.9,-3.3,10.0,0.0,200.4,3.2,1024.6
2021-04-12,5.5,-2.8,12.8,0.0,71.8,11.8,1026.6
2021-04-13,8.9,4.4,13.9,0.0,53.4,17.2,1025.9
2021-04-14,11.5,3.9,18.9,0.0,53.9,15.4,1021.3
2021-04-15,12.5,3.3,20.6,0.0,35.4,9.4,1020.2
2021-04-16,12.1,2.2,21.7,0.0,34.5,6.9,1024.6
2021-04-17,13.2,2.2,23.9,0.0,183.0,4.6,1023.9
